userid,gender,no_of_days,no_os_calls,enrolled
8804,Male,10,3,Yes
8805,Male,15,3,No
8806,Female,5,7,No
8807,Female,25,6,No
8808,Female,17,7,No
8809,Female,28,4,No
8810,Male,5,2,No
8811,Female,2,2,No
8812,Female,9,1,No
8813,Female,6,9,No
8814,Male,18,7,Yes
8815,Male,14,3,Yes
8816,Female,19,2,No
8817,Female,14,3,No
8818,Female,8,7,No
8819,Female,17,5,Yes
8820,Female,28,3,Yes
8821,Male,3,9,No
8822,Male,29,2,No
8823,Male,10,7,No
8824,Female,17,6,No
8825,Male,27,6,Yes
8826,Male,11,7,Yes
8827,Male,8,6,No
8828,Female,1,2,No
8829,Female,13,5,Yes
8830,Male,21,3,Yes
8831,Female,4,9,No
8832,Male,7,8,No
8833,Male,14,2,Yes
8834,Male,5,1,Yes
8835,Male,24,4,Yes
8836,Female,28,4,No
8837,Female,30,2,Yes
8838,Female,11,7,No
8839,Female,17,3,Yes
8840,Male,5,7,Yes
8841,Female,20,7,Yes
8842,Male,3,1,No
8843,Female,5,6,No
8844,Female,26,4,Yes
8845,Female,15,8,No
8846,Male,19,8,Yes
8847,Male,16,3,No
8848,Male,8,4,Yes
8849,Male,13,1,Yes
8850,Female,16,2,No
8851,Male,3,7,Yes
8852,Male,1,7,No
8853,Female,9,9,Yes
8854,Female,9,9,No
8855,Male,22,9,Yes
8856,Female,26,6,Yes
8857,Male,17,8,No
8858,Female,24,9,Yes
8859,Male,2,7,No
8860,Male,9,4,Yes
8861,Male,30,4,Yes
8862,Male,24,6,Yes
8863,Male,19,4,Yes
8864,Female,13,7,No
8865,Male,5,8,No
8866,Male,9,8,No
8867,Male,13,8,Yes
8868,Male,1,2,No
8869,Male,25,2,No
8870,Female,15,2,Yes
8871,Female,4,2,No
8872,Male,4,4,Yes
8873,Female,20,5,Yes
8874,Male,10,4,No
8875,Female,28,5,No
8876,Female,25,4,No
8877,Male,30,7,No
8878,Female,6,1,Yes
8879,Female,27,1,No
8880,Male,24,2,Yes
8881,Male,12,1,No
8882,Female,30,3,Yes
8883,Female,20,6,No
8884,Female,16,6,No
8885,Male,3,1,Yes
8886,Female,14,6,No
8887,Female,1,5,No
8888,Female,10,7,No
8889,Male,15,6,No
8890,Male,7,7,Yes
8891,Male,4,2,Yes
8892,Male,14,1,No
8893,Female,24,7,Yes
8894,Male,16,9,No
8895,Female,14,2,Yes
8896,Female,3,7,Yes
8897,Female,17,3,Yes
8898,Female,21,6,No
8899,Male,14,3,Yes
8900,Male,18,5,Yes
8901,Male,3,2,No
8902,Male,30,8,Yes
8903,Male,22,8,No
8904,Female,19,7,Yes
8905,Male,3,6,No
8906,Male,12,1,Yes
8907,Male,22,8,No
8908,Male,5,1,Yes
8909,Female,10,8,Yes
8910,Female,9,2,No
8911,Female,1,8,Yes
8912,Female,13,4,Yes
8913,Female,3,7,No
8914,Male,19,5,No
8915,Female,11,8,Yes
8916,Female,16,6,No
8917,Female,6,5,Yes
8918,Male,24,1,No
8919,Male,3,3,No
8920,Female,19,9,No
8921,Male,6,9,No
8922,Male,8,5,Yes
8923,Female,22,3,No
8924,Male,13,6,Yes
8925,Male,12,5,Yes
8926,Male,30,1,Yes
8927,Female,10,2,Yes
8928,Female,3,5,Yes
8929,Female,4,9,No
8930,Male,1,4,No
8931,Female,13,9,Yes
8932,Male,24,3,Yes
8933,Male,4,1,No
8934,Male,22,6,Yes
8935,Female,11,7,No
8936,Female,19,4,Yes
8937,Female,11,5,No
8938,Female,12,4,No
8939,Male,11,3,Yes
8940,Female,6,1,No
8941,Male,12,6,Yes
8942,Female,27,5,No
8943,Female,9,1,No
8944,Female,25,5,Yes
8945,Male,10,6,No
8946,Male,3,5,No
8947,Male,3,1,Yes
8948,Male,20,5,No
8949,Male,28,1,Yes
8950,Female,23,3,Yes
8951,Male,16,2,No
8952,Male,3,1,Yes
8953,Male,10,4,No
8954,Male,24,2,No
8955,Female,11,5,Yes
8956,Male,8,1,No
8957,Female,6,1,No
8958,Female,20,4,No
8959,Female,11,7,Yes
8960,Male,28,2,Yes
8961,Female,27,2,No
8962,Male,21,1,Yes
8963,Male,12,5,No
8964,Male,16,6,No
8965,Male,18,6,Yes
8966,Male,13,2,Yes
8967,Female,22,7,Yes
8968,Female,3,6,No
8969,Male,15,8,Yes
8970,Female,22,6,No
8971,Male,28,9,No
8972,Female,21,2,No
8973,Female,14,7,Yes
8974,Female,18,5,Yes
8975,Female,28,1,Yes
8976,Female,29,3,No
8977,Male,14,4,No
8978,Male,5,2,Yes
8979,Female,21,7,Yes
8980,Male,14,1,Yes
8981,Female,25,3,Yes
8982,Male,27,9,Yes
8983,Female,8,2,Yes
8984,Female,28,5,Yes
8985,Female,28,4,Yes
8986,Male,23,3,Yes
8987,Male,15,5,No
8988,Female,28,6,Yes
8989,Female,29,1,Yes
8990,Male,15,2,No
8991,Male,30,1,No
8992,Male,19,3,No
8993,Male,26,8,No
8994,Male,20,8,No
8995,Female,6,4,No
8996,Male,19,6,No
8997,Female,27,9,Yes
8998,Female,25,7,Yes
8999,Male,8,2,Yes
9000,Male,6,2,No
9001,Female,20,3,Yes
9002,Male,23,8,No
9003,Female,29,9,Yes
9004,Male,15,3,No
9005,Male,27,9,Yes
9006,Male,3,8,Yes
9007,Female,10,5,Yes
9008,Male,15,3,Yes
9009,Female,24,7,Yes
9010,Male,16,9,Yes
9011,Female,17,6,Yes
9012,Male,19,3,No
9013,Female,11,5,No
9014,Female,16,7,Yes
9015,Female,5,8,Yes
9016,Female,5,4,Yes
9017,Female,26,2,Yes
9018,Female,14,2,No
9019,Male,18,3,No
9020,Female,26,8,Yes
9021,Female,8,1,Yes
9022,Female,5,7,Yes
9023,Male,7,6,Yes
9024,Male,16,2,No
9025,Male,23,9,No
9026,Female,14,5,No
9027,Male,5,2,No
9028,Male,24,3,Yes
9029,Female,9,7,No
9030,Female,4,7,Yes
9031,Male,4,1,No
9032,Female,16,4,No
9033,Female,24,6,Yes
9034,Female,17,8,No
9035,Female,15,3,Yes
9036,Male,4,3,Yes
9037,Female,6,8,Yes
9038,Male,16,8,Yes
9039,Male,29,8,Yes
9040,Male,4,1,No
9041,Male,6,8,No
9042,Female,5,8,Yes
9043,Female,16,2,Yes
9044,Female,30,9,Yes
9045,Male,25,7,Yes
9046,Male,16,8,No
9047,Male,10,2,Yes
9048,Female,9,4,No
9049,Male,4,7,No
9050,Female,29,6,Yes
9051,Female,14,7,No
9052,Female,4,1,Yes
9053,Female,12,8,Yes
9054,Male,24,7,No
9055,Female,10,4,Yes
9056,Male,4,1,Yes
9057,Female,18,8,No
9058,Male,13,7,No
9059,Male,13,8,No
9060,Female,14,1,Yes
9061,Female,18,5,No
9062,Female,1,9,No
9063,Male,21,5,No
9064,Female,16,3,No
9065,Female,15,9,Yes
9066,Male,22,9,No
9067,Female,25,4,No
9068,Male,5,4,Yes
9069,Female,29,8,No
9070,Male,6,7,No
9071,Male,6,5,Yes
9072,Female,3,6,Yes
9073,Male,16,3,Yes
9074,Female,12,6,Yes
9075,Female,4,8,Yes
9076,Male,1,9,No
9077,Female,4,3,No
9078,Male,1,8,No
9079,Male,21,3,No
9080,Male,27,2,Yes
9081,Male,27,5,Yes
9082,Male,8,4,Yes
9083,Male,24,5,No
9084,Male,5,6,Yes
9085,Male,30,3,Yes
9086,Female,26,1,No
9087,Female,2,4,Yes
9088,Male,12,6,Yes
9089,Female,22,2,No
9090,Female,17,2,No
9091,Female,7,1,Yes
9092,Female,11,9,No
9093,Female,4,3,Yes
9094,Female,5,2,No
9095,Male,6,4,No
9096,Female,11,6,No
9097,Female,1,1,No
9098,Female,25,9,Yes
9099,Female,10,9,Yes
9100,Male,20,8,Yes
9101,Male,24,6,No
9102,Male,21,4,Yes
9103,Male,11,2,No
9104,Female,24,8,Yes
9105,Male,17,7,No
9106,Male,8,4,No
9107,Male,27,3,No
9108,Male,13,6,Yes
9109,Female,27,1,Yes
9110,Male,20,2,Yes
9111,Female,18,7,Yes
9112,Male,27,3,No
9113,Female,22,1,No
9114,Female,16,2,No
9115,Male,2,9,No
9116,Male,5,7,Yes
9117,Male,18,7,Yes
9118,Male,3,8,No
9119,Female,27,8,Yes
9120,Female,22,9,No
9121,Male,17,2,No
9122,Male,16,8,No
9123,Female,6,8,Yes
9124,Male,19,5,No
9125,Female,7,5,Yes
9126,Male,18,4,No
9127,Female,14,5,Yes
9128,Female,6,2,Yes
9129,Female,8,2,No
9130,Female,15,5,No
9131,Female,15,3,Yes
9132,Male,15,1,Yes
9133,Female,16,9,Yes
9134,Male,1,2,No
9135,Female,11,2,No
9136,Female,27,4,Yes
9137,Male,29,2,Yes
9138,Male,25,7,Yes
9139,Male,5,1,No
9140,Male,5,2,No
9141,Female,29,5,Yes
9142,Male,28,2,Yes
9143,Female,21,9,No
9144,Male,6,4,No
9145,Male,2,9,Yes
9146,Female,6,1,Yes
9147,Female,14,1,Yes
9148,Male,11,1,No
9149,Female,4,4,Yes
9150,Female,24,9,Yes
9151,Female,29,8,Yes
9152,Female,27,7,No
9153,Female,25,1,No
9154,Female,9,3,No
9155,Female,24,9,Yes
9156,Female,3,9,No
9157,Male,26,5,No
9158,Female,16,6,No
9159,Male,11,6,No
9160,Female,27,4,No
9161,Female,4,1,Yes
9162,Female,1,5,Yes
9163,Female,25,1,Yes
9164,Male,21,1,Yes
9165,Male,22,5,Yes
9166,Female,16,5,No
9167,Male,19,7,No
9168,Female,16,2,Yes
9169,Female,11,6,No
9170,Male,26,2,Yes
9171,Male,8,5,Yes
9172,Female,23,4,No
9173,Female,1,5,Yes
9174,Male,26,2,No
9175,Female,28,8,Yes
9176,Male,21,8,No
9177,Female,26,6,No
9178,Female,9,3,No
9179,Male,28,4,No
9180,Male,27,1,No
9181,Male,12,9,No
9182,Female,22,5,Yes
9183,Female,8,8,Yes
9184,Female,26,3,No
9185,Female,17,4,No
9186,Male,10,4,Yes
9187,Female,27,8,Yes
9188,Female,7,9,Yes
9189,Female,19,3,Yes
9190,Male,25,7,Yes
9191,Female,6,9,No
9192,Female,21,2,Yes
9193,Male,24,4,Yes
9194,Female,24,3,Yes
9195,Female,28,8,No
9196,Male,28,4,Yes
9197,Female,19,9,Yes
9198,Female,18,1,No
9199,Female,15,1,No
9200,Male,2,4,Yes
9201,Female,14,3,No
9202,Female,21,3,Yes
9203,Male,10,2,Yes
9204,Male,28,2,No
9205,Female,16,8,Yes
9206,Female,7,1,No
9207,Female,8,8,No
9208,Female,10,3,No
9209,Male,15,2,No
9210,Female,8,9,Yes
9211,Male,13,5,Yes
9212,Male,12,5,Yes
9213,Female,8,6,No
9214,Female,15,4,Yes
9215,Male,26,7,No
9216,Male,12,7,Yes
9217,Female,11,9,No
9218,Male,19,6,Yes
9219,Female,14,1,Yes
9220,Female,27,9,No
9221,Male,18,9,Yes
9222,Male,13,5,No
9223,Female,4,7,No
9224,Male,17,1,Yes
9225,Female,19,4,Yes
9226,Female,27,4,Yes
9227,Female,9,5,No
9228,Male,23,6,No
9229,Female,7,4,No
9230,Female,1,6,No
9231,Female,7,7,No
9232,Female,26,3,No
9233,Female,7,9,No
9234,Female,20,8,No
9235,Female,7,1,No
9236,Female,8,2,Yes
9237,Female,16,2,No
9238,Female,3,9,No
9239,Female,13,9,Yes
9240,Male,10,9,Yes
9241,Female,18,1,No
9242,Female,7,7,Yes
9243,Female,21,3,Yes
9244,Male,21,9,No
9245,Female,30,8,No
9246,Male,5,3,Yes
9247,Female,23,1,No
9248,Female,25,9,Yes
9249,Male,27,1,No
9250,Female,24,3,No
9251,Male,22,6,Yes
9252,Male,7,6,Yes
9253,Female,25,4,Yes
9254,Female,30,2,Yes
9255,Female,27,6,Yes
9256,Female,22,5,No
9257,Male,17,6,No
9258,Male,4,7,Yes
9259,Female,24,9,Yes
9260,Male,23,7,Yes
9261,Male,16,4,No
9262,Female,19,5,No
9263,Male,10,6,Yes
9264,Male,3,9,No
9265,Female,27,5,No
9266,Male,3,5,Yes
9267,Female,28,7,Yes
9268,Male,17,2,No
9269,Female,10,3,No
9270,Male,17,2,No
9271,Male,22,2,No
9272,Female,30,3,No
9273,Female,30,6,Yes
9274,Female,17,5,No
9275,Female,21,5,Yes
9276,Male,4,2,Yes
9277,Male,21,2,No
9278,Male,23,1,Yes
9279,Female,6,3,No
9280,Male,12,7,Yes
9281,Male,25,5,No
9282,Female,22,7,Yes
9283,Female,25,9,No
9284,Male,20,6,No
9285,Female,17,2,Yes
9286,Male,17,1,Yes
9287,Male,10,1,Yes
9288,Female,7,9,No
9289,Male,29,6,Yes
9290,Female,16,6,Yes
9291,Female,29,4,No
9292,Male,13,2,No
9293,Male,3,3,Yes
9294,Male,2,3,Yes
9295,Female,16,8,No
9296,Male,30,6,No
9297,Female,6,7,No
9298,Female,6,9,Yes
9299,Male,13,1,Yes
9300,Female,7,2,No
9301,Male,5,9,No
9302,Male,24,5,No
9303,Male,7,4,Yes
9304,Male,2,1,Yes
9305,Male,17,9,Yes
9306,Male,13,9,Yes
9307,Male,30,4,No
9308,Female,25,9,No
9309,Male,21,1,Yes
9310,Female,28,5,No
9311,Female,27,1,No
9312,Female,21,4,Yes
9313,Male,28,5,No
9314,Female,16,3,Yes
9315,Female,26,2,Yes
9316,Male,20,6,Yes
9317,Male,2,3,No
9318,Female,5,1,Yes
9319,Male,18,5,No
9320,Male,28,2,No
9321,Male,7,2,Yes
9322,Male,11,4,Yes
9323,Female,25,4,Yes
9324,Male,25,4,Yes
9325,Male,11,7,Yes
9326,Male,22,1,No
9327,Female,17,8,No
9328,Female,16,9,No
9329,Male,13,6,Yes
9330,Male,22,4,Yes
9331,Female,5,6,No
9332,Male,20,7,Yes
9333,Male,16,6,No
9334,Female,28,1,No
9335,Male,22,5,No
9336,Male,22,8,Yes
9337,Female,16,8,Yes
9338,Female,16,9,No
9339,Male,14,4,Yes
9340,Female,6,6,Yes
9341,Male,2,7,Yes
9342,Male,14,5,No
9343,Male,16,8,No
9344,Female,23,3,No
9345,Female,30,8,No
9346,Male,20,5,No
9347,Male,13,1,Yes
9348,Female,15,6,No
9349,Female,12,2,Yes
9350,Female,9,7,No
9351,Male,26,9,Yes
9352,Female,18,3,Yes
9353,Female,21,4,No
9354,Male,14,4,Yes
9355,Male,20,4,Yes
9356,Male,25,3,Yes
9357,Female,4,5,Yes
9358,Male,8,9,Yes
9359,Male,8,8,Yes
9360,Male,22,2,No
9361,Male,22,9,Yes
9362,Female,16,2,No
9363,Male,27,7,Yes
9364,Female,24,5,Yes
9365,Female,28,7,Yes
9366,Female,29,5,Yes
9367,Male,28,6,Yes
9368,Female,10,8,Yes
9369,Male,25,1,Yes
9370,Male,21,1,Yes
9371,Male,27,5,No
9372,Female,17,1,No
9373,Male,1,3,No
9374,Male,18,9,No
9375,Male,10,7,Yes
9376,Female,26,6,Yes
9377,Female,21,8,Yes
9378,Female,4,8,No
9379,Male,1,6,No
9380,Female,4,4,No
9381,Male,4,4,Yes
9382,Male,26,4,Yes
9383,Female,4,6,No
9384,Male,17,1,Yes
9385,Female,9,2,Yes
9386,Male,30,6,Yes
9387,Female,19,1,No
9388,Male,13,9,Yes
9389,Male,4,6,No
9390,Male,5,7,No
9391,Male,29,1,Yes
9392,Male,13,8,Yes
9393,Female,23,5,Yes
9394,Male,16,5,No
9395,Female,22,6,No
9396,Female,5,7,Yes
9397,Female,8,7,Yes
9398,Male,16,5,No
9399,Male,30,1,No
9400,Male,1,9,No
9401,Female,23,6,No
9402,Male,28,9,No
9403,Male,6,4,Yes
9404,Female,11,2,No
9405,Female,16,3,No
9406,Female,5,4,Yes
9407,Female,16,8,No
9408,Female,7,3,No
9409,Female,19,8,Yes
9410,Male,1,6,No
9411,Female,9,4,Yes
9412,Male,18,7,No
9413,Male,13,5,No
9414,Male,26,5,Yes
9415,Female,15,9,No
9416,Male,3,3,No
9417,Female,24,4,Yes
9418,Female,28,5,No
9419,Male,10,1,No
9420,Female,9,7,No
9421,Male,13,8,No
9422,Male,16,6,No
9423,Female,3,9,Yes
9424,Male,22,3,No
9425,Male,23,2,No
9426,Male,15,5,Yes
9427,Female,17,9,Yes
9428,Male,14,1,Yes
9429,Female,7,1,Yes
9430,Female,20,3,No
9431,Male,16,3,No
9432,Male,21,5,No
9433,Female,8,4,No
9434,Female,4,6,No
9435,Male,20,8,No
9436,Male,24,8,No
9437,Female,15,4,Yes
9438,Female,5,1,No
9439,Female,13,7,Yes
9440,Female,6,6,Yes
9441,Female,28,5,Yes
9442,Male,27,4,No
9443,Female,30,6,No
9444,Female,5,8,Yes
9445,Male,17,6,No
9446,Male,7,3,No
9447,Female,6,9,Yes
9448,Female,2,3,Yes
9449,Male,11,4,No
9450,Female,7,5,Yes
9451,Female,22,2,Yes
9452,Male,21,2,Yes
9453,Female,8,6,No
9454,Male,5,2,No
9455,Male,27,1,Yes
9456,Male,18,8,Yes
9457,Male,22,1,No
9458,Female,16,6,No
9459,Male,14,1,No
9460,Female,12,8,No
9461,Female,17,5,No
9462,Female,5,3,No
9463,Female,14,5,Yes
9464,Female,6,1,Yes
9465,Male,15,1,Yes
9466,Male,7,4,No
9467,Male,14,9,Yes
9468,Male,18,9,Yes
9469,Female,1,1,Yes
9470,Male,6,3,Yes
9471,Female,3,4,Yes
9472,Female,5,2,Yes
9473,Male,12,7,Yes
9474,Male,11,3,No
9475,Male,13,1,Yes
9476,Male,16,1,Yes
9477,Female,18,3,No
9478,Female,17,6,Yes
9479,Male,17,4,No
9480,Female,29,1,Yes
9481,Female,11,7,No
9482,Female,20,2,Yes
9483,Male,10,5,Yes
9484,Female,29,8,Yes
9485,Male,16,7,Yes
9486,Male,2,8,Yes
9487,Female,17,6,No
9488,Female,22,7,Yes
9489,Male,30,9,No
9490,Female,20,6,Yes
9491,Female,10,9,Yes
9492,Male,13,2,Yes
9493,Male,12,2,No
9494,Male,15,2,No
9495,Male,7,6,No
9496,Female,27,2,No
9497,Female,22,3,No
9498,Male,21,8,Yes
9499,Male,26,8,Yes
9500,Male,28,4,No
9501,Female,13,9,No
9502,Male,12,8,Yes
9503,Female,12,1,Yes
9504,Male,28,8,No
9505,Male,2,1,No
9506,Male,5,4,Yes
9507,Female,25,6,No
9508,Female,25,7,Yes
9509,Female,2,4,No
9510,Male,23,8,No
9511,Female,26,8,Yes
9512,Female,30,9,Yes
9513,Male,20,6,No
9514,Male,13,4,Yes
9515,Female,29,2,No
9516,Female,3,7,No
9517,Female,11,3,Yes
9518,Female,16,3,Yes
9519,Male,1,3,Yes
9520,Male,19,4,No
9521,Male,11,2,Yes
9522,Female,9,5,Yes
9523,Female,14,3,Yes
9524,Male,9,5,No
9525,Male,7,7,Yes
9526,Female,16,9,Yes
9527,Female,3,2,Yes
9528,Male,29,9,Yes
9529,Male,19,6,No
9530,Male,4,6,No
9531,Female,7,3,No
9532,Female,23,9,No
9533,Female,28,4,Yes
9534,Female,12,5,No
9535,Female,30,3,Yes
9536,Female,18,5,No
9537,Male,28,8,Yes
9538,Male,5,8,Yes
9539,Female,23,8,Yes
9540,Male,23,6,No
9541,Female,22,1,No
9542,Male,26,6,No
9543,Female,10,7,Yes
9544,Male,12,9,No
9545,Male,8,8,Yes
9546,Female,19,8,No
9547,Female,15,7,No
9548,Male,1,2,No
9549,Male,3,1,No
9550,Female,27,2,No
9551,Male,18,6,Yes
9552,Female,18,2,No
9553,Female,30,4,No
9554,Male,30,3,No
9555,Female,2,6,Yes
9556,Male,5,8,No
9557,Male,29,6,No
9558,Female,1,2,Yes
9559,Male,10,5,No
9560,Female,20,6,Yes
9561,Female,30,9,Yes
9562,Female,10,6,No
9563,Male,5,5,Yes
9564,Female,18,1,No
9565,Male,21,5,Yes
9566,Female,26,5,No
9567,Female,15,6,Yes
9568,Female,20,7,Yes
9569,Male,8,4,Yes
9570,Male,17,7,No
9571,Female,12,5,Yes
9572,Female,21,6,No
9573,Male,30,4,No
9574,Male,30,8,Yes
9575,Male,27,9,No
9576,Female,12,2,No
9577,Male,26,4,Yes
9578,Female,1,8,No
9579,Male,26,8,No
9580,Female,26,9,Yes
9581,Female,4,3,Yes
9582,Female,8,1,Yes
9583,Male,1,9,Yes
9584,Male,27,1,No
9585,Male,15,3,No
9586,Female,18,3,No
9587,Female,1,9,Yes
9588,Male,11,1,No
9589,Female,23,7,Yes
9590,Female,2,2,No
9591,Female,1,7,Yes
9592,Male,12,1,No
9593,Female,16,8,No
9594,Male,22,2,Yes
9595,Male,22,3,No
9596,Male,10,8,No
9597,Male,18,3,No
9598,Male,15,1,No
9599,Female,17,9,Yes
9600,Male,30,8,No
9601,Male,10,4,Yes
9602,Male,3,8,Yes
9603,Female,26,5,Yes
9604,Female,30,3,No
9605,Female,21,1,Yes
9606,Female,16,5,Yes
9607,Male,6,6,Yes
9608,Male,3,4,No
9609,Female,9,7,No
9610,Female,11,3,Yes
9611,Female,21,7,Yes
9612,Female,13,1,No
9613,Male,18,7,Yes
9614,Female,26,1,No
9615,Female,22,1,Yes
9616,Female,28,2,No
9617,Female,24,2,No
9618,Female,27,4,No
9619,Female,22,1,Yes
9620,Female,4,4,Yes
9621,Male,22,2,No
9622,Male,24,4,No
9623,Male,8,4,Yes
9624,Male,13,9,No
9625,Male,10,9,Yes
9626,Male,2,1,No
9627,Female,8,5,No
9628,Female,6,7,Yes
9629,Male,16,4,Yes
9630,Female,18,5,No
9631,Male,17,2,Yes
9632,Female,6,3,No
9633,Female,13,7,Yes
9634,Female,23,7,No
9635,Female,14,4,Yes
9636,Female,30,1,Yes
9637,Female,26,1,No
9638,Male,21,4,No
9639,Male,30,4,No
9640,Female,10,6,No
9641,Male,24,7,No
9642,Female,11,9,No
9643,Male,13,9,Yes
9644,Female,12,5,No
9645,Male,9,3,No
9646,Female,4,3,No
9647,Male,7,6,No
9648,Female,24,1,Yes
9649,Male,29,7,No
9650,Female,22,3,No
9651,Female,2,5,Yes
9652,Female,7,7,Yes
9653,Male,29,7,No
9654,Male,9,9,Yes
9655,Male,5,1,No
9656,Female,15,3,Yes
9657,Male,18,9,Yes
9658,Female,4,8,Yes
9659,Male,19,2,Yes
9660,Male,20,8,Yes
9661,Male,26,8,No
9662,Male,7,2,No
9663,Female,26,8,Yes
9664,Male,8,3,Yes
9665,Male,17,7,Yes
9666,Female,13,9,No
9667,Female,24,4,No
9668,Male,21,6,No
9669,Male,28,9,Yes
9670,Female,23,5,No
9671,Female,11,1,Yes
9672,Female,27,3,Yes
9673,Male,1,9,Yes
9674,Male,2,3,Yes
9675,Male,17,2,No
9676,Female,5,4,No
9677,Female,30,5,Yes
9678,Female,30,7,Yes
9679,Male,6,7,Yes
9680,Female,26,9,Yes
9681,Male,25,8,Yes
9682,Female,24,2,Yes
9683,Male,7,8,No
9684,Male,28,8,No
9685,Female,21,5,No
9686,Male,30,3,Yes
9687,Female,15,9,No
9688,Male,19,7,No
9689,Female,16,1,No
9690,Female,25,8,No
9691,Male,13,5,No
9692,Female,5,6,Yes
9693,Male,3,9,Yes
9694,Female,3,8,Yes
9695,Female,19,3,No
9696,Female,14,5,Yes
9697,Female,16,4,No
9698,Male,22,1,Yes
9699,Female,17,5,No
9700,Female,27,7,No
9701,Male,4,1,Yes
9702,Male,13,4,Yes
9703,Male,8,6,No
9704,Male,19,9,No
9705,Male,5,8,Yes
9706,Male,2,2,Yes
9707,Female,15,3,No
9708,Male,2,5,Yes
9709,Female,11,7,Yes
9710,Male,13,3,Yes
9711,Female,23,7,Yes
9712,Female,10,5,No
9713,Female,3,6,No
9714,Male,5,6,No
9715,Male,3,4,Yes
9716,Male,6,8,No
9717,Male,13,9,No
9718,Female,10,2,Yes
9719,Male,19,9,Yes
9720,Female,8,4,No
9721,Female,18,6,No
9722,Male,3,7,Yes
9723,Male,24,4,Yes
9724,Male,24,8,Yes
9725,Female,17,8,Yes
9726,Male,8,1,Yes
9727,Female,10,8,No
9728,Male,2,3,No
9729,Female,12,5,No
9730,Male,23,8,No
9731,Male,6,6,Yes
9732,Female,2,4,Yes
9733,Male,21,4,No
9734,Male,23,4,Yes
9735,Male,24,6,No
9736,Male,3,7,No
9737,Male,17,5,No
9738,Male,29,8,No
9739,Male,7,7,No
9740,Female,29,8,No
9741,Female,21,4,Yes
9742,Male,5,8,Yes
9743,Male,23,6,No
9744,Male,1,3,No
9745,Female,8,8,No
9746,Female,12,7,Yes
9747,Male,14,5,Yes
9748,Female,16,4,Yes
9749,Male,10,1,No
9750,Male,15,3,Yes
9751,Male,21,2,No
9752,Male,24,8,Yes
9753,Female,26,8,No
9754,Female,15,5,No
9755,Male,10,5,No
9756,Female,21,4,Yes
9757,Female,28,1,Yes
9758,Male,7,1,Yes
9759,Female,26,6,No
9760,Male,3,4,No
9761,Male,2,4,Yes
9762,Male,6,3,Yes
9763,Male,21,9,No
9764,Female,9,3,No
9765,Male,10,8,Yes
9766,Female,4,2,No
9767,Male,27,4,Yes
9768,Male,3,1,Yes
9769,Female,9,5,No
9770,Male,24,2,Yes
9771,Female,22,1,Yes
9772,Female,17,1,No
9773,Male,14,2,Yes
9774,Male,10,5,Yes
9775,Male,13,9,No
9776,Male,12,6,No
9777,Male,27,4,Yes
9778,Male,1,3,Yes
9779,Female,28,8,No
9780,Female,22,3,No
9781,Male,29,1,Yes
9782,Female,19,4,Yes
9783,Female,19,5,Yes
9784,Male,6,5,Yes
9785,Male,13,5,No
9786,Female,19,8,No
9787,Male,13,8,No
9788,Female,27,4,No
9789,Male,26,9,Yes
9790,Female,22,1,No
9791,Female,21,5,Yes
9792,Female,4,5,Yes
9793,Female,24,5,No
9794,Male,2,8,No
9795,Male,15,9,Yes
9796,Female,12,3,No
9797,Female,30,9,Yes
9798,Male,27,8,Yes
9799,Male,7,3,No
9800,Female,20,2,Yes
9801,Female,18,4,No
9802,Female,23,2,No
9803,Female,13,4,No
9804,Female,17,5,Yes
9805,Male,4,2,No
9806,Female,25,8,Yes
9807,Male,14,1,No
9808,Male,20,3,Yes
9809,Male,28,7,Yes
9810,Female,13,1,Yes
9811,Male,3,2,Yes
9812,Male,26,3,Yes
9813,Male,26,2,No
9814,Male,18,2,Yes
9815,Female,14,6,No
9816,Female,15,7,No
9817,Male,3,6,No
9818,Male,1,6,No
9819,Female,26,9,Yes
9820,Female,24,8,No
9821,Female,17,8,No
9822,Male,3,6,No
9823,Female,14,5,No
9824,Male,3,9,No
9825,Male,13,2,No
9826,Female,15,7,Yes
9827,Male,18,6,Yes
9828,Female,14,7,Yes
9829,Male,21,4,No
9830,Female,26,9,No
9831,Male,3,7,No
9832,Male,19,2,Yes
9833,Female,8,4,No
9834,Female,4,5,No
9835,Female,4,2,Yes
9836,Female,19,8,No
9837,Male,11,1,Yes
9838,Female,1,3,No
9839,Female,8,1,No
9840,Male,15,5,No
9841,Female,1,8,Yes
9842,Female,7,7,No
9843,Male,21,9,Yes
9844,Female,20,2,No
9845,Female,20,8,Yes
9846,Female,24,8,No
9847,Female,11,6,Yes
9848,Female,27,3,Yes
9849,Female,29,2,No
9850,Male,14,8,Yes
9851,Female,22,6,Yes
9852,Male,16,4,Yes
9853,Male,14,5,No
9854,Male,12,5,Yes
9855,Male,17,9,No
9856,Female,14,9,Yes
9857,Female,10,8,Yes
9858,Female,24,8,Yes
9859,Male,29,2,Yes
9860,Female,14,3,No
9861,Female,18,8,No
9862,Female,22,5,Yes
9863,Male,9,7,No
9864,Male,17,8,No
9865,Female,6,6,Yes
9866,Male,8,5,Yes
9867,Male,26,8,Yes
9868,Female,13,1,Yes
9869,Male,18,1,Yes
9870,Male,5,1,Yes
9871,Female,6,3,No
9872,Male,21,6,Yes
9873,Male,19,6,Yes
9874,Male,4,5,Yes
9875,Male,7,7,No
9876,Male,4,5,Yes
9877,Male,25,2,No
